ticket class,gender,age,sibl. sp.,par. ch.,ticket fare,embarked
3,male,0.42,0,1,8.5167,Cherbourg
3,female,0.75,2,1,19.2583,Cherbourg
3,female,0.75,2,1,19.2583,Cherbourg
3,female,1,0,2,15.7417,Cherbourg
2,male,1,0,2,37.0042,Cherbourg
2,female,3,1,2,41.5792,Cherbourg
3,female,4,0,1,13.4167,Cherbourg
3,female,5,2,1,19.2583,Cherbourg
3,male,12,1,0,11.2417,Cherbourg
3,female,13,0,0,7.2292,Cherbourg
2,female,14,1,0,30.0708,Cherbourg
3,female,14,1,0,11.2417,Cherbourg
3,female,15,1,0,14.4542,Cherbourg
3,female,15,0,0,7.225,Cherbourg
1,female,16,0,1,57.9792,Cherbourg
1,female,17,1,0,108.9,Cherbourg
2,female,17,0,0,12,Cherbourg
1,male,17,0,2,110.8833,Cherbourg
1,female,18,2,2,262.375,Cherbourg
1,female,18,1,0,227.525,Cherbourg
1,female,19,1,0,91.0792,Cherbourg
3,male,20,1,1,15.7417,Cherbourg
3,male,20,0,0,7.2292,Cherbourg
1,female,21,2,2,262.375,Cherbourg
1,female,22,0,2,49.5,Cherbourg
3,male,22,0,0,7.225,Cherbourg
2,female,22,1,2,41.5792,Cherbourg
1,male,23,0,1,63.3583,Cherbourg
1,female,23,1,0,113.275,Cherbourg
2,female,23,0,0,13.7917,Cherbourg
1,female,24,0,0,83.1583,Cherbourg
1,female,24,0,0,69.3,Cherbourg
1,female,24,0,0,69.3,Cherbourg
1,female,24,0,0,49.5042,Cherbourg
3,female,24,0,3,19.2583,Cherbourg
1,male,25,1,0,55.4417,Cherbourg
1,male,25,1,0,91.0792,Cherbourg
3,male,26,0,0,18.7875,Cherbourg
1,male,26,0,0,30,Cherbourg
1,male,27,0,0,76.7292,Cherbourg
2,female,27,1,0,13.8583,Cherbourg
2,female,28,1,0,24,Cherbourg
3,female,29,0,2,15.2458,Cherbourg
3,male,29,0,0,7.8958,Cherbourg
1,female,30,0,0,56.9292,Cherbourg
1,female,30,0,0,106.425,Cherbourg
1,female,30,0,0,31,Cherbourg
1,female,31,1,0,113.275,Cherbourg
1,female,32,0,0,76.2917,Cherbourg
1,male,32,0,0,30.5,Cherbourg
1,female,35,0,0,512.3292,Cherbourg
1,male,35,0,0,26.55,Cherbourg
1,male,35,0,0,512.3292,Cherbourg
1,female,36,0,0,135.6333,Cherbourg
1,male,36,0,1,512.3292,Cherbourg
1,female,38,1,0,71.2833,Cherbourg
1,female,38,0,0,227.525,Cherbourg
1,female,39,1,1,110.8833,Cherbourg
1,female,39,1,1,83.1583,Cherbourg
1,male,40,0,0,31,Cherbourg
1,female,40,1,1,134.5,Cherbourg
1,female,41,0,0,134.5,Cherbourg
1,female,42,0,0,227.525,Cherbourg
1,female,44,0,0,27.7208,Cherbourg
1,female,44,0,1,57.9792,Cherbourg
1,female,48,1,0,39.6,Cherbourg
1,male,48,1,0,76.7292,Cherbourg
1,female,49,1,0,76.7292,Cherbourg
1,male,49,1,0,89.1042,Cherbourg
1,male,49,1,0,56.9292,Cherbourg
1,female,50,0,1,247.5208,Cherbourg
1,female,52,1,0,78.2667,Cherbourg
1,female,54,1,0,78.2667,Cherbourg
1,female,54,1,0,59.4,Cherbourg
1,male,56,0,0,35.5,Cherbourg
1,female,56,0,1,83.1583,Cherbourg
1,female,58,0,0,146.5208,Cherbourg
1,female,60,1,0,75.25,Cherbourg
1,male,60,1,1,79.2,Cherbourg
3,female,15,0,0,8.0292,Queenstwn
3,female,16,0,0,7.7333,Queenstwn
3,female,16,0,0,7.75,Queenstwn
3,female,19,0,0,7.8792,Queenstwn
3,female,22,0,0,7.75,Queenstwn
3,male,29,0,0,7.75,Queenstwn
2,female,30,0,0,12.35,Queenstwn
1,female,33,1,0,90,Queenstwn
2,male,0.67,1,1,14.5,Southampt
2,male,0.83,0,2,29,Southampt
2,male,0.83,1,1,18.75,Southampt
1,male,0.92,1,2,151.55,Southampt
3,female,1,1,1,11.1333,Southampt
2,male,1,2,1,39,Southampt
3,male,1,1,2,20.575,Southampt
2,male,2,1,1,26,Southampt
3,female,2,0,1,12.2875,Southampt
2,female,2,1,1,26,Southampt
2,male,3,1,1,26,Southampt
3,male,3,4,2,31.3875,Southampt
3,male,3,1,1,15.9,Southampt
2,male,3,1,1,18.75,Southampt
3,female,4,1,1,16.7,Southampt
3,female,4,0,2,22.025,Southampt
