"관리번호",공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
48330-00001,춘추근린공원,근린공원,,경상남도 양산시 교동 산55-1,35.35038532,129.0235715,434351,"체력단련시설,게이트볼장",,"화장실,음수대,원두막",충혼탑,"조경시설,산책로",1976-12-18,경상남도 양산시,055-392-3182,2021-05-21
48330-00002,신북안 어린이공원,어린이공원,,경상남도 양산시 북부동 486-2,35.34578884,129.0382881,699.6,,어린이놀이터,파고라,,"조경시설,산책로",1979-08-02,경상남도 양산시,055-392-3184,2021-05-21
48330-00003,산막 어린이공원,어린이공원,,경상남도 양산시 산막동 309-1,35.37079794,129.0501856,1501.5,,,파고라,,"조경시설,산책로",1986-01-28,경상남도 양산시,055-392-3184,2021-05-21
48330-00004,유산근린공원,근린공원,,경상남도 양산시 유산동 산50-1,35.36060245,129.0336036,51561,체력단련시설,,,,"조경시설,산책로",1986-05-27,경상남도 양산시,055-392-3182,2021-05-21
48330-00005,가촌신기 어린이공원,어린이공원,,경상남도 양산시 물금읍 가촌리 527,35.32007189,128.9933958,1500.3,,어린이놀이터,"원두막,파고라",,"조경시설,산책로",1986-05-27,경상남도 양산시,055-392-3184,2021-05-21
48330-00006,곡리 어린이공원,어린이공원,,경상남도 양산시 동면 석산리 864-6,35.31713155,129.0312458,1503.1,족구장,어린이놀이터,육각정자,,"조경시설,산책로",1986-05-27,경상남도 양산시,055-392-3184,2021-05-21
48330-00007,옹기골 어린이공원,어린이공원,,경상남도 양산시 남부동 461-1,35.33905652,129.0371348,1519.4,체력단련시설,어린이놀이터,"전통정자,원두막",,"조경시설,산책로",1986-05-27,경상남도 양산시,055-392-3184,2021-05-21
48330-00008,옥곡 어린이공원,어린이공원,,경상남도 양산시 남부동 470-1,35.33600773,129.0363368,1635.4,체력단련시설,어린이놀이터,"화장실,원두막",,"조경시설,산책로",1986-05-27,경상남도 양산시,055-392-3184,2021-05-21
48330-00009,서일동 어린이공원,어린이공원,,경상남도 양산시 중부동 604-1,35.34047714,129.0354479,1238,체력단련시설,어린이놀이터,"원두막,파고라",,"조경시설,산책로",1986-05-27,경상남도 양산시,055-392-3184,2021-05-21
48330-00010,땅바우 어린이공원,어린이공원,,경상남도 양산시 하북면 지산리 5-2,35.49404179,129.082583,1500,체력단련시설,,,,"조경시설,산책로",1988-01-19,경상남도 양산시,055-392-3184,2021-05-21
48330-00011,새터 어린이공원,어린이공원,,경상남도 양산시 물금읍 가촌리 554-5,35.32040837,128.9919372,2559.5,체력단련시설,어린이놀이터,"화장실,원두막",,"조경시설,산책로",1988-08-12,경상남도 양산시,055-392-3184,2021-05-21
48330-00012,꿈샘 어린이공원,어린이공원,,경상남도 양산시 상북면 석계리 237-12,35.41600201,129.0593611,1548.6,체력단련시설,어린이놀이터,원두막,,"조경시설,산책로",1989-10-17,경상남도 양산시,055-392-3184,2021-05-21
48330-00013,여울 어린이공원,어린이공원,,경상남도 양산시 상북면 석계리 245-4,35.41330769,129.0572228,1590.4,체력단련시설,어린이놀이터,원두막,,"조경시설,산책로",1989-10-17,경상남도 양산시,055-392-3184,2021-05-21
48330-00014,빛솔 어린이공원,어린이공원,,경상남도 양산시 신기동 118,35.3553885,129.0476643,1992.2,,어린이놀이터,원두막,,"조경시설,산책로",1989-11-30,경상남도 양산시,055-392-3184,2021-05-21
48330-00015,빛길 어린이공원,어린이공원,,경상남도 양산시 신기동 133,35.35404476,129.0477459,2107.1,체력단련시설,어린이놀이터,"원두막,파고라",,"조경시설,산책로",1989-11-30,경상남도 양산시,055-392-3184,2021-05-21
48330-00016,해강 어린이공원,어린이공원,,경상남도 양산시 동면 석산리 774-5,35.315332,129.030871,1503.5,체력단련시설,어린이놀이터,"화장실,자전거보관대,파고라",,"조경시설,산책로",1990-01-11,경상남도 양산시,055-392-3184,2021-05-21
48330-00017,북정 근린공원,근린공원,,경상남도 양산시 북정동 435,35.36305073,129.049667,11019.6,"체력단련시설,인조잔디구장",,화장실,이원수선생 노래비,"조경시설,산책로,야외무대",1990-11-24,경상남도 양산시,055-392-3182,2021-05-21
48330-00018,못안 어린이공원,어린이공원,,경상남도 양산시 북정동 406,35.36467508,129.0484116,1681.5,체력단련시설,어린이놀이터,"화장실,파고라",고분상징 조형물,"조경시설,광장,산책로",1990-11-24,경상남도 양산시,055-392-3184,2021-05-21
48330-00019,삼성 어린이공원,어린이공원,,경상남도 양산시 북정동 532-1,35.36138318,129.0486331,1954,"체력단련시설,배구장",어린이놀이터,"원두막,파고라",,"조경시설,산책로",1990-11-24,경상남도 양산시,055-392-3184,2021-05-21
48330-00020,중각단 어린이공원,어린이공원,경상남도 양산시 북정3길 9(북정동),경상남도 양산시 북정동 552-8,35.35954976,129.0480152,2038.2,체력단련시설,어린이놀이터,원두막,,"조경시설,산책로",1990-11-24,경상남도 양산시,055-392-3184,2021-05-21
48330-00021,가촌 어린이공원,어린이공원,,경상남도 양산시 물금읍 가촌리 708-7,35.32333128,128.9938317,1501.7,체력단련시설,어린이놀이터,파고라,,"조경시설,산책로",1991-10-21,경상남도 양산시,055-392-3184,2021-05-21
